fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-26 23:40:00,SSS,Male,VEH,0.0,0.0,176,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:45:00,SSS,Male,VEH,0.0,0.0,177,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:50:00,SSS,Male,VEH,0.0,0.0,178,2,Critical
M13_09_25_25_Ch27,2025-09-26 23:55:00,SSS,Male,VEH,0.0,0.0,179,2,Critical
M13_09_25_25_Ch27,2025-09-27 00:00:00,SSS,Male,VEH,0.0,0.0,180,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:05:00,SSS,Male,VEH,0.0,0.0,181,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:10:00,SSS,Male,VEH,0.0,0.0,182,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:15:00,SSS,Male,VEH,0.0,0.0,183,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:20:00,SSS,Male,VEH,0.0,0.0,184,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:25:00,SSS,Male,VEH,0.0,0.0,185,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:30:00,SSS,Male,VEH,0.0,0.0,186,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:35:00,SSS,Male,VEH,0.0,0.0,187,2,Critical
M13_09_25_25_Ch27,2025-09-27 00:40:00,SSS,Male,VEH,0.0,0.0,188,2,Critical
M13_09_25_25_Ch27,2025-09-27 00:45:00,SSS,Male,VEH,0.0,0.0,189,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:50:00,SSS,Male,VEH,0.0,0.0,190,1,Declining
M13_09_25_25_Ch27,2025-09-27 00:55:00,SSS,Male,VEH,0.0,0.0,191,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:00:00,SSS,Male,VEH,0.0,0.0,192,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:05:00,SSS,Male,VEH,0.0,0.0,193,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:10:00,SSS,Male,VEH,0.0,0.0,194,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:15:00,SSS,Male,VEH,0.0,0.0,195,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:20:00,SSS,Male,VEH,0.0,0.0,196,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:25:00,SSS,Male,VEH,0.0,0.0,197,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:30:00,SSS,Male,VEH,0.0,0.0,198,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:35:00,SSS,Male,VEH,0.0,0.0,199,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:40:00,SSS,Male,VEH,0.0,0.0,200,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:45:00,SSS,Male,VEH,0.0,0.0,201,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:50:00,SSS,Male,VEH,0.0,0.0,202,1,Declining
M13_09_25_25_Ch27,2025-09-27 01:55:00,SSS,Male,VEH,0.0,0.0,203,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:00:00,SSS,Male,VEH,0.0,0.0,204,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:05:00,SSS,Male,VEH,0.0,0.0,205,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:10:00,SSS,Male,VEH,0.0,0.0,206,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:15:00,SSS,Male,VEH,0.0,0.0,207,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:20:00,SSS,Male,VEH,0.0,0.0,208,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:25:00,SSS,Male,VEH,0.0,0.0,209,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:30:00,SSS,Male,VEH,0.0,0.0,210,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:35:00,SSS,Male,VEH,0.0,0.0,211,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:40:00,SSS,Male,VEH,0.0,0.0,212,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:45:00,SSS,Male,VEH,0.0,0.0,213,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:50:00,SSS,Male,VEH,0.0,0.0,214,1,Declining
M13_09_25_25_Ch27,2025-09-27 02:55:00,SSS,Male,VEH,0.0,0.0,215,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:00:00,SSS,Male,VEH,0.0,0.0,216,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:05:00,SSS,Male,VEH,0.0,0.0,217,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:10:00,SSS,Male,VEH,0.0,0.0,218,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:15:00,SSS,Male,VEH,0.0,0.0,219,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:20:00,SSS,Male,VEH,0.0,0.0,220,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:25:00,SSS,Male,VEH,0.0,0.0,221,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:30:00,SSS,Male,VEH,0.0,0.0,222,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:35:00,SSS,Male,VEH,0.0,0.0,223,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:40:00,SSS,Male,VEH,0.0,0.0,224,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:45:00,SSS,Male,VEH,0.0,0.0,225,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:50:00,SSS,Male,VEH,0.0,0.0,226,1,Declining
M13_09_25_25_Ch27,2025-09-27 03:55:00,SSS,Male,VEH,0.0,0.0,227,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:00:00,SSS,Male,VEH,0.0,0.0,228,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:05:00,SSS,Male,VEH,0.0,0.0,229,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:10:00,SSS,Male,VEH,0.0,0.0,230,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:15:00,SSS,Male,VEH,0.0,0.0,231,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:20:00,SSS,Male,VEH,0.0,0.0,232,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:25:00,SSS,Male,VEH,0.0,0.0,233,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:30:00,SSS,Male,VEH,0.0,0.0,234,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:35:00,SSS,Male,VEH,0.0,0.0,235,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:40:00,SSS,Male,VEH,0.0,0.0,236,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:45:00,SSS,Male,VEH,0.0,0.0,237,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:50:00,SSS,Male,VEH,0.0,0.0,238,1,Declining
M13_09_25_25_Ch27,2025-09-27 04:55:00,SSS,Male,VEH,0.0,0.0,239,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:00:00,SSS,Male,VEH,0.0,0.0,240,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:05:00,SSS,Male,VEH,0.0,0.0,241,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:10:00,SSS,Male,VEH,0.0,0.0,242,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:15:00,SSS,Male,VEH,0.0,0.0,243,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:20:00,SSS,Male,VEH,0.0,0.0,244,1,Declining
M13_09_25_25_Ch27,2025-09-27 05:25:00,SSS,Male,VEH,0.0,0.0,245,1,Declining
